CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19,15,39
2,Male,21,15,81
3,Female,20,16,6
4,Female,23,16,77
5,Female,31,17,40
6,Female,22,17,76
7,Female,35,18,6
8,Female,23,18,94
9,Male,64,19,3
10,Female,30,19,72
11,Male,67,19,14
12,Female,35,19,99
13,Female,58,20,15
14,Female,24,20,77
15,Male,37,20,13
16,Male,22,20,79
17,Female,35,21,35
18,Male,20,21,66
19,Male,52,23,29
20,Female,35,23,98
21,Male,35,24,35
22,Male,25,24,73
23,Female,46,25,5
24,Male,31,25,73
25,Female,54,28,14
26,Male,29,28,82
27,Female,45,28,32
28,Male,35,28,61
29,Female,40,29,31
30,Female,23,29,87
31,Male,60,30,4
32,Female,21,30,73
33,Male,53,33,4
34,Male,18,33,92
35,Female,49,33,14
36,Female,21,33,81
37,Female,42,34,17
38,Female,30,34,73
39,Female,36,37,26
40,Female,20,37,75
41,Female,65,38,35
42,Male,24,38,92
43,Male,48,39,36
44,Female,31,39,61
45,Female,49,39,28
46,Female,24,39,65
47,Female,50,40,55
48,Female,27,40,47
49,Female,29,40,42
50,Female,31,40,42
51,Female,49,42,52
52,Male,33,42,60
53,Female,31,43,54
54,Male,59,43,60
55,Female,50,43,45
56,Male,47,43,41
57,Female,51,44,50
58,Male,69,44,46
59,Female,27,46,51
60,Male,53,46,46
61,Male,70,46,56
62,Male,19,46,55
63,Female,67,47,52
64,Female,54,47,59
65,Male,63,48,51
66,Male,18,48,59
67,Female,43,48,50
68,Female,68,48,48
69,Male,19,48,59
70,Female,32,48,47
71,Male,70,49,55
72,Female,47,49,42
73,Female,60,50,49
74,Female,60,50,56
75,Male,19,54,47
76,Male,37,54,54
77,Female,36,54,53
78,Male,42,54,48
79,Female,35,54,52
80,Female,23,54,42
81,Female,41,54,51
82,Male,48,54,55
83,Male,67,54,41
84,Female,25,54,49
85,Female,46,54,48
86,Male,24,54,45
87,Female,52,55,41
88,Female,19,57,55
89,Female,50,58,46
90,Female,22,58,42
91,Female,23,58,49
92,Male,35,58,55
93,Female,48,60,49
94,Female,30,60,40
95,Female,40,60,42
96,Male,24,60,52
97,Female,32,60,47
98,Male,29,61,42
99,Male,24,62,48
100,Female,35,62,42
101,Female,50,62,55
102,Male,46,62,44
103,Female,27,63,48
104,Male,21,63,52
105,Male,19,64,42
106,Female,41,64,50
107,Female,29,65,46
108,Female,32,65,47
109,Male,36,67,43
110,Male,30,67,56
111,Male,40,69,55
112,Male,36,70,35
113,Female,36,71,44
114,Female,52,73,36
115,Male,30,73,29
116,Female,58,73,34
117,Female,30,74,40
118,Female,39,74,36
119,Male,59,74,48
120,Male,35,75,44
121,Female,37,75,46
122,Female,32,76,53
123,Male,46,77,42
124,Male,29,77,48
125,Female,41,78,49
126,Female,30,78,41
127,Male,54,78,45
128,Male,43,78,47
129,Male,48,78,42
130,Male,36,79,42
131,Male,40,87,50
132,Male,47,88,48
133,Female,40,99,32
134,Female,48,99,42
135,Female,41,103,17
136,Female,57,103,34
137,Female,55,103,17
138,Male,43,103,59
139,Male,41,113,36
140,Female,47,120,14
141,Female,48,120,35
142,Male,45,126,28
143,Female,32,126,74
144,Female,32,137,18
145,Male,28,137,75
146,Male,37,137,18
147,Male,50,137,75
148,Female,35,137,20
149,Female,38,137,75
150,Male,48,137,22
151,Female,29,137,75
152,Female,29,137,75
153,Female,28,138,20
154,Female,36,138,74
155,Male,30,139,20
156,Female,45,139,75
157,Male,31,143,20
158,Female,30,143,76
159,Male,45,143,20
160,Female,38,143,75
161,Female,32,145,17
162,Female,30,145,79
163,Male,24,145,21
164,Female,32,147,74
165,Male,43,147,15
166,Female,34,147,79
167,Female,31,148,16
168,Female,32,148,78
169,Male,33,148,21
170,Female,33,148,78
171,Male,45,148,16
172,Male,34,149,15
173,Male,40,149,22
174,Male,28,150,79
175,Male,36,150,13
176,Female,36,150,79
177,Female,56,150,17
178,Male,48,150,20
179,Female,33,150,75
180,Male,40,150,17
181,Male,35,150,79
182,Female,32,151,20
183,Male,19,153,84
184,Female,26,54,65
185,Female,24,59,73
186,Male,25,63,74
187,Female,28,77,79
188,Male,28,83,75
189,Female,29,90,80
190,Male,30,98,76
191,Female,31,104,78
192,Male,32,115,82
193,Female,33,125,85
194,Male,34,135,88
195,Female,35,140,91
196,Male,36,145,93
197,Female,37,150,95
198,Male,38,155,97
199,Female,39,160,99
200,Male,40,165,100
