CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
1,Male,19,15,39,0
2,Male,21,15,81,0
3,Female,20,16,6,0
4,Female,23,16,77,0
5,Female,31,17,40,0
6,Female,22,17,76,0
7,Female,35,18,6,2
8,Female,23,18,94,0
9,Male,64,19,3,2
10,Female,30,19,72,0
11,Male,67,19,14,2
12,Female,35,19,99,0
13,Female,58,20,15,2
14,Female,24,20,77,0
15,Male,37,20,13,2
16,Male,22,20,79,0
17,Female,35,21,35,0
18,Male,20,21,66,0
19,Male,52,23,29,2
20,Female,35,23,98,0
21,Male,35,24,35,0
22,Male,25,24,73,0
23,Female,46,25,5,2
24,Male,31,25,73,0
25,Female,54,28,14,2
26,Male,29,28,82,0
27,Female,45,28,32,2
28,Male,35,28,61,0
29,Female,40,29,31,2
30,Female,23,29,87,0
31,Male,60,30,4,2
32,Female,21,30,73,0
33,Male,53,33,4,2
34,Male,18,33,92,0
35,Female,49,33,14,2
36,Female,21,33,81,0
37,Female,42,34,17,2
38,Female,30,34,73,0
39,Female,36,37,26,2
40,Female,20,37,75,0
41,Female,65,38,35,2
42,Male,24,38,92,0
43,Male,48,39,36,2
44,Female,31,39,61,0
45,Female,49,39,28,2
46,Female,24,39,65,0
47,Female,50,40,55,2
48,Female,27,40,47,0
49,Female,29,40,42,0
50,Female,31,40,42,0
51,Female,49,42,52,2
52,Male,33,42,60,0
53,Female,31,43,54,0
54,Male,59,43,60,2
55,Female,50,43,45,2
56,Male,47,43,41,2
57,Female,51,44,50,2
58,Male,69,44,46,2
59,Female,27,46,51,0
60,Male,53,46,46,2
61,Male,70,46,56,2
62,Male,19,46,55,0
63,Female,67,47,52,2
64,Female,54,47,59,2
65,Male,63,48,51,2
66,Male,18,48,59,0
67,Female,43,48,50,2
68,Female,68,48,48,2
69,Male,19,48,59,0
70,Female,32,48,47,0
71,Male,70,49,55,2
72,Female,47,49,42,2
73,Female,60,50,49,2
74,Female,60,50,56,2
75,Male,19,54,47,0
76,Male,37,54,54,0
77,Female,36,54,53,0
78,Male,42,54,48,2
79,Female,35,54,52,0
80,Female,23,54,42,0
81,Female,41,54,51,2
82,Male,48,54,55,2
83,Male,67,54,41,2
84,Female,25,54,49,0
85,Female,46,54,48,2
86,Male,24,54,45,0
87,Female,52,55,41,2
88,Female,19,57,55,0
89,Female,50,58,46,2
90,Female,22,58,42,0
91,Female,23,58,49,0
92,Male,35,58,55,0
93,Female,48,60,49,2
94,Female,30,60,40,0
95,Female,40,60,42,2
96,Male,24,60,52,0
97,Female,32,60,47,0
98,Male,29,61,42,0
99,Male,24,62,48,0
100,Female,35,62,42,0
101,Female,50,62,55,2
102,Male,46,62,44,2
103,Female,27,63,48,0
104,Male,21,63,52,0
105,Male,19,64,42,0
106,Female,41,64,50,2
107,Female,29,65,46,0
108,Female,32,65,47,0
109,Male,36,67,43,0
110,Male,30,67,56,0
111,Male,40,69,55,0
112,Male,36,70,35,0
113,Female,36,71,44,0
114,Female,52,73,36,2
115,Male,30,73,29,0
116,Female,58,73,34,2
117,Female,30,74,40,0
118,Female,39,74,36,2
119,Male,59,74,48,2
120,Male,35,75,44,0
121,Female,37,75,46,0
122,Female,32,76,53,0
123,Male,46,77,42,2
124,Male,29,77,48,0
125,Female,41,78,49,2
126,Female,30,78,41,0
127,Male,54,78,45,2
128,Male,43,78,47,2
129,Male,48,78,42,2
130,Male,36,79,42,0
131,Male,40,87,50,2
132,Male,47,88,48,2
133,Female,40,99,32,1
134,Female,48,99,42,2
135,Female,41,103,17,1
136,Female,57,103,34,2
137,Female,55,103,17,2
138,Male,43,103,59,3
139,Male,41,113,36,1
140,Female,47,120,14,1
141,Female,48,120,35,1
142,Male,45,126,28,1
143,Female,32,126,74,3
144,Female,32,137,18,1
145,Male,28,137,75,3
146,Male,37,137,18,1
147,Male,50,137,75,3
148,Female,35,137,20,1
149,Female,38,137,75,3
150,Male,48,137,22,1
151,Female,29,137,75,3
152,Female,29,137,75,3
153,Female,28,138,20,1
154,Female,36,138,74,3
155,Male,30,139,20,1
156,Female,45,139,75,3
157,Male,31,143,20,1
158,Female,30,143,76,3
159,Male,45,143,20,1
160,Female,38,143,75,3
161,Female,32,145,17,1
162,Female,30,145,79,3
163,Male,24,145,21,1
164,Female,32,147,74,3
165,Male,43,147,15,1
166,Female,34,147,79,3
167,Female,31,148,16,1
168,Female,32,148,78,3
169,Male,33,148,21,1
170,Female,33,148,78,3
171,Male,45,148,16,1
172,Male,34,149,15,1
173,Male,40,149,22,1
174,Male,28,150,79,3
175,Male,36,150,13,1
176,Female,36,150,79,3
177,Female,56,150,17,1
178,Male,48,150,20,1
179,Female,33,150,75,3
180,Male,40,150,17,1
181,Male,35,150,79,3
182,Female,32,151,20,1
183,Male,19,153,84,3
184,Female,26,54,65,0
185,Female,24,59,73,0
186,Male,25,63,74,0
187,Female,28,77,79,0
188,Male,28,83,75,0
189,Female,29,90,80,3
190,Male,30,98,76,3
191,Female,31,104,78,3
192,Male,32,115,82,3
193,Female,33,125,85,3
194,Male,34,135,88,3
195,Female,35,140,91,3
196,Male,36,145,93,3
197,Female,37,150,95,3
198,Male,38,155,97,3
199,Female,39,160,99,3
200,Male,40,165,100,3
