customerID,gender,SeniorCitizen,tenure,Partner,Dependents,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,MonthlyCharges,TotalCharges,Churn
C001,Male,Yes,1,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,29.85,29.85,No
C002,Female,No,34,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,56.95,1889.5,No
C003,Female,No,2,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,53.85,108.15,Yes
C004,Female,No,45,No,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,42.3,1840.75,No
C005,Male,No,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,70.7,151.65,Yes
C006,Male,No,8,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,99.65,820.5,Yes
C007,Female,No,22,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,89.1,1949.4,No
C008,Male,No,10,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,29.75,301.9,No
C009,Female,Yes,28,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,104.8,3046.05,Yes
C010,Male,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,79.85,79.85,Yes
C011,Female,No,49,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,59.6,2970.3,No
C012,Male,No,30,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,55.7,1725.4,No
C013,Female,No,15,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,95.4,1370.55,Yes
C014,Male,No,60,No,No,DSL,Yes,No,No,Yes,Yes,No,Two year,64.1,3850.2,No
C015,Female,Yes,3,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,99.9,302.1,Yes
C016,Male,No,36,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,68.2,2490.8,No
C017,Female,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,89.75,455.3,Yes
C018,Male,No,24,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,49.95,1198.8,No
C019,Female,No,7,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,85.5,610.5,Yes
C020,Male,No,42,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Two year,72.35,3038.7,No
